Time,CH0,CH1,CH2,CH3
17.1536,2.18523e+07,275.28,272.167,271.632
17.1538,2.18543e+07,275.378,272.795,271.655
17.154,2.18563e+07,275.378,272.795,271.677
17.1542,2.18583e+07,275.258,271.852,271.681
17.1544,2.18603e+07,275.258,271.852,271.684
17.1546,2.18623e+07,275.223,272.586,271.702
17.1548,2.18643e+07,275.223,272.586,271.719
17.155,2.18663e+07,275.452,270.596,271.697
17.1552,2.18683e+07,275.452,270.596,271.676
17.1554,2.18703e+07,275.327,274.575,271.733
17.1556,2.18723e+07,275.327,274.575,271.788
17.1558,2.18743e+07,275.271,269.234,271.738
17.156,2.18763e+07,275.271,269.234,271.689
17.1562,2.18783e+07,275.265,272.376,271.703
17.1564,2.18803e+07,275.265,272.376,271.716
17.1566,2.18823e+07,275.25,272.376,271.729
17.1568,2.18843e+07,275.25,272.376,271.741
17.157,2.18863e+07,275.238,273.214,271.77
17.1572,2.18883e+07,275.238,273.214,271.799
17.1574,2.18903e+07,275.574,275.832,271.878
17.1576,2.18923e+07,275.574,275.832,271.955
17.1578,2.18943e+07,275.68,273.214,271.98
17.158,2.18963e+07,275.611,272.586,271.992
17.1582,2.18983e+07,275.611,272.586,272.003
17.1584,2.19003e+07,275.489,268.187,271.928
17.1586,2.19023e+07,275.489,268.187,271.855
17.1588,2.19043e+07,275.385,270.805,271.835
17.159,2.19063e+07,275.385,270.805,271.815
17.1592,2.19083e+07,275.346,271.015,271.799
17.1594,2.19103e+07,275.346,271.015,271.784
17.1596,2.19123e+07,275.332,270.386,271.756
17.1598,2.19143e+07,275.332,270.386,271.729
17.16,2.19163e+07,275.341,273.423,271.762
17.1602,2.19183e+07,275.341,273.423,271.795
17.1604,2.19203e+07,275.429,271.434,271.788
17.1606,2.19223e+07,275.429,271.434,271.781
17.1608,2.19243e+07,275.478,272.167,271.789
17.161,2.19263e+07,275.478,272.167,271.796
17.1612,2.19283e+07,275.552,270.386,271.768
17.1614,2.19303e+07,275.552,270.386,271.741
17.1616,2.19323e+07,275.355,271.015,271.727
17.1618,2.19343e+07,275.355,271.015,271.713
17.162,2.19363e+07,275.319,269.968,271.679
17.1622,2.19383e+07,275.319,269.968,271.645
17.1624,2.19403e+07,275.354,271.434,271.641
17.1626,2.19423e+07,275.354,271.434,271.637
17.1628,2.19443e+07,275.332,274.052,271.684
17.163,2.19463e+07,275.332,274.052,271.731
17.1632,2.19483e+07,275.378,269.444,271.686
17.1634,2.19503e+07,275.378,269.444,271.642
17.1636,2.19523e+07,275.334,274.052,271.689
17.1638,2.19543e+07,275.334,274.052,271.736
17.164,2.19563e+07,275.319,270.805,271.717
17.1642,2.19583e+07,275.319,270.805,271.699
17.1644,2.19603e+07,275.324,273.214,271.729
17.1646,2.19623e+07,275.324,273.214,271.758
17.1648,2.19643e+07,275.271,273.004,271.783
17.165,2.19663e+07,275.271,273.004,271.807
17.1652,2.19683e+07,275.367,271.224,271.795
17.1654,2.19703e+07,275.367,271.224,271.784
17.1656,2.19723e+07,275.355,274.261,271.833
17.1658,2.19743e+07,275.355,274.261,271.88
17.166,2.19763e+07,275.357,270.596,271.855
17.1662,2.19783e+07,275.357,270.596,271.83
17.1664,2.19803e+07,275.166,271.643,271.827
17.1666,2.19823e+07,275.166,271.643,271.823
17.1668,2.19843e+07,275.355,270.596,271.799
17.167,2.19863e+07,275.355,270.596,271.775
17.1672,2.19883e+07,275.228,270.386,271.748
17.1674,2.19903e+07,275.228,270.386,271.722
17.1676,2.19923e+07,275.344,274.575,271.777
17.1678,2.19943e+07,275.344,274.575,271.832
17.168,2.19963e+07,275.45,271.852,271.833
17.1682,2.19983e+07,275.45,271.852,271.833
17.1684,2.20003e+07,275.276,271.852,271.833
17.1686,2.20023e+07,275.276,271.852,271.834
17.1688,2.20043e+07,275.261,268.816,271.775
17.169,2.20063e+07,275.261,268.816,271.717
17.1692,2.20083e+07,275.233,271.852,271.719
17.1694,2.20103e+07,275.233,271.852,271.722
17.1696,2.20123e+07,275.102,273.214,271.751
17.1698,2.20143e+07,275.102,273.214,271.78
17.17,2.20163e+07,275.072,271.224,271.769
17.1702,2.20183e+07,275.072,271.224,271.758
17.1704,2.20203e+07,275.165,274.575,271.814
17.1706,2.20223e+07,275.165,274.575,271.868
17.1708,2.20243e+07,275.279,273.214,271.894
17.171,2.20263e+07,275.279,273.214,271.92
17.1712,2.20283e+07,275.602,272.586,271.933
17.1714,2.20303e+07,275.602,272.586,271.946
17.1716,2.20323e+07,275.641,272.795,271.962
17.1718,2.20343e+07,275.641,272.795,271.979
17.172,2.20363e+07,275.281,267.978,271.9
17.1722,2.20383e+07,275.281,267.978,271.823
17.1724,2.20403e+07,275.446,269.025,271.769
17.1726,2.20423e+07,275.446,269.025,271.715
17.1728,2.20443e+07,275.044,271.224,271.705
17.173,2.20463e+07,275.044,271.224,271.696
17.1732,2.20483e+07,274.974,268.397,271.631
17.1734,2.20503e+07,274.974,268.397,271.568
17.1736,2.20523e+07,275.318,275.832,271.651
17.1738,2.20543e+07,275.318,275.832,271.733
17.174,2.20563e+07,274.974,273.842,271.774
17.1742,2.20583e+07,274.974,273.842,271.815
17.1744,2.20603e+07,275.068,277.193,271.92
17.1746,2.20623e+07,275.068,277.193,272.024
17.1748,2.20643e+07,275.981,275.622,272.094
17.175,2.20663e+07,275.981,275.622,272.164
17.1752,2.20683e+07,275.945,275.832,272.235
17.1754,2.20703e+07,275.945,275.832,272.306
17.1756,2.20723e+07,275.855,268.397,272.229
17.1758,2.20743e+07,275.758,267.559,272.138
17.176,2.20763e+07,275.758,267.559,272.048
17.1762,2.20783e+07,275.572,269.758,272.003
17.1764,2.20803e+07,275.572,269.758,271.959
17.1766,2.20823e+07,275.491,267.035,271.862
17.1768,2.20843e+07,275.491,267.035,271.768
17.177,2.20863e+07,275.37,271.224,271.757
17.1772,2.20883e+07,275.37,271.224,271.747
17.1774,2.20903e+07,275.321,270.596,271.724
17.1776,2.20923e+07,275.321,270.596,271.702
17.1778,2.20943e+07,275.402,271.224,271.693
17.178,2.20963e+07,275.402,271.224,271.683
17.1782,2.20983e+07,275.316,272.586,271.701
17.1784,2.21003e+07,275.316,272.586,271.719
17.1786,2.21023e+07,275.409,271.434,271.713
17.1788,2.21043e+07,275.409,271.434,271.707
17.179,2.21063e+07,275.352,273.004,271.733
17.1792,2.21083e+07,275.352,273.004,271.758
17.1794,2.21103e+07,275.37,271.643,271.756
17.1796,2.21123e+07,275.37,271.643,271.753
17.1798,2.21143e+07,275.438,273.423,271.786
17.18,2.21163e+07,275.438,273.423,271.818
17.1802,2.21183e+07,275.358,269.758,271.778
17.1804,2.21203e+07,275.358,269.758,271.738
17.1806,2.21223e+07,275.47,272.376,271.751
17.1808,2.21243e+07,275.47,272.376,271.763
17.181,2.21263e+07,275.456,274.261,271.812
17.1812,2.21283e+07,275.456,274.261,271.86
17.1814,2.21303e+07,275.408,269.968,271.823
17.1816,2.21323e+07,275.408,269.968,271.786
17.1818,2.21343e+07,275.444,273.214,271.814
17.182,2.21363e+07,275.444,273.214,271.842
17.1822,2.21383e+07,275.336,269.444,271.795
17.1824,2.21403e+07,275.336,269.444,271.749
17.1826,2.21423e+07,275.363,272.795,271.769
17.1828,2.21443e+07,275.363,272.795,271.789
17.183,2.21463e+07,275.351,271.643,271.786
17.1832,2.21483e+07,275.351,271.643,271.784
17.1834,2.21503e+07,275.349,271.224,271.773
17.1836,2.21523e+07,275.349,271.224,271.762
17.1838,2.21543e+07,275.37,273.214,271.79
17.184,2.21563e+07,275.37,273.214,271.818
17.1842,2.21583e+07,275.326,271.015,271.803
17.1844,2.21603e+07,275.326,271.015,271.787
17.1846,2.21623e+07,275.355,273.004,271.811
17.1848,2.21643e+07,275.355,273.004,271.834
17.185,2.21663e+07,275.28,270.386,271.806
17.1852,2.21683e+07,275.28,270.386,271.778
17.1854,2.21703e+07,275.208,270.386,271.751
17.1856,2.21723e+07,275.208,270.386,271.724
17.1858,2.21743e+07,275.254,273.842,271.766
17.186,2.21763e+07,275.254,273.842,271.806
17.1862,2.21783e+07,275.478,273.423,271.838
17.1864,2.21803e+07,275.478,273.423,271.869
17.1866,2.21823e+07,275.517,273.423,271.9
17.1868,2.21843e+07,275.517,273.423,271.93
17.187,2.21863e+07,275.384,268.816,271.868
17.1872,2.21883e+07,275.384,268.816,271.809
17.1874,2.21903e+07,275.349,271.015,271.793
17.1876,2.21923e+07,275.349,271.015,271.778
17.1878,2.21943e+07,275.078,270.596,271.755
17.188,2.21963e+07,275.078,270.596,271.732
17.1882,2.21983e+07,275.176,270.386,271.706
17.1884,2.22003e+07,275.176,270.386,271.68
17.1886,2.22023e+07,275.197,273.633,271.718
17.1888,2.22043e+07,275.197,273.633,271.756
17.189,2.22063e+07,275.373,272.795,271.776
17.1892,2.22083e+07,275.373,272.795,271.796
17.1894,2.22103e+07,275.206,275.204,271.863
17.1896,2.22123e+07,275.206,275.204,271.928
17.1898,2.22143e+07,275.721,273.842,271.966
17.19,2.22163e+07,275.721,273.842,272.002
17.1902,2.22183e+07,275.888,278.869,272.137
17.1904,2.22203e+07,275.888,278.869,272.269
17.1906,2.22223e+07,275.455,271.015,272.245
17.1908,2.22243e+07,275.455,271.015,272.22
17.191,2.22263e+07,275.397,273.423,272.244
17.1912,2.22283e+07,275.397,273.423,272.267
17.1914,2.22303e+07,276.051,275.622,272.333
17.1916,2.22323e+07,276.051,275.622,272.397
17.1918,2.22343e+07,276.349,280.021,272.547
17.192,2.22363e+07,276.349,280.021,272.693
17.1922,2.22383e+07,276.546,274.994,272.739
17.1924,2.22403e+07,276.429,273.423,272.752
17.1926,2.22423e+07,276.429,273.423,272.765
17.1928,2.22443e+07,276.522,274.994,272.809
17.193,2.22463e+07,276.522,274.994,272.852
17.1932,2.22483e+07,276.615,274.994,272.894
17.1934,2.22503e+07,276.615,274.994,272.935
17.1936,2.22523e+07,276.839,279.078,273.055
17.1938,2.22543e+07,276.839,279.078,273.173
17.194,2.22563e+07,277.012,277.193,273.252
17.1942,2.22583e+07,277.012,277.193,273.329
17.1944,2.22603e+07,277.303,280.649,273.473
17.1946,2.22623e+07,277.303,280.649,273.614
17.1948,2.22643e+07,277.448,277.822,273.696
17.195,2.22663e+07,277.448,277.822,273.777
17.1952,2.22683e+07,277.651,280.23,273.904
17.1954,2.22703e+07,277.651,280.23,274.028
17.1956,2.22723e+07,277.8,277.612,274.098
17.1958,2.22743e+07,277.8,277.612,274.167
17.196,2.22763e+07,277.978,279.602,274.273
17.1962,2.22783e+07,277.978,279.602,274.378
17.1964,2.22803e+07,278.121,277.193,274.433
17.1966,2.22823e+07,278.121,277.193,274.487
17.1968,2.22843e+07,278.352,279.811,274.592
17.197,2.22863e+07,278.352,279.811,274.694
17.1972,2.22883e+07,278.49,277.403,274.747
17.1974,2.22903e+07,278.49,277.403,274.799
17.1976,2.22923e+07,278.734,282.22,274.945
17.1978,2.22943e+07,278.734,282.22,275.088
17.198,2.22963e+07,278.852,277.822,275.141
17.1982,2.22983e+07,278.852,277.822,275.194
17.1984,2.23003e+07,279.058,281.591,275.319
17.1986,2.23023e+07,279.058,281.591,275.442
17.1988,2.23043e+07,279.271,278.031,275.493
17.199,2.23063e+07,279.271,278.031,275.543
17.1992,2.23083e+07,279.516,281.277,275.655
17.1994,2.23103e+07,279.516,281.277,275.765
17.1996,2.23123e+07,279.518,277.612,275.802
17.1998,2.23143e+07,279.518,277.612,275.837
17.2,2.23163e+07,279.715,279.811,275.915
17.2002,2.23183e+07,279.715,279.811,275.991
17.2004,2.23203e+07,279.705,280.23,276.075
17.2006,2.23223e+07,279.705,280.23,276.156
17.2008,2.23243e+07,279.857,282.639,276.283
17.201,2.23263e+07,279.857,282.639,276.408
17.2012,2.23283e+07,279.961,282.01,276.518
17.2014,2.23303e+07,279.961,282.01,276.625
17.2016,2.23323e+07,280.427,282.01,276.731
17.2018,2.23343e+07,280.427,282.01,276.834
17.202,2.23363e+07,280.619,281.068,276.917
17.2022,2.23383e+07,280.619,281.068,276.999
17.2024,2.23403e+07,280.813,281.801,277.093
17.2026,2.23423e+07,280.813,281.801,277.185
17.2028,2.23443e+07,280.866,277.822,277.198
17.203,2.23463e+07,280.866,277.822,277.21
17.2032,2.23483e+07,281.013,281.277,277.29
17.2034,2.23503e+07,281.013,281.277,277.368
17.2036,2.23523e+07,281.084,280.021,277.42
17.2038,2.23543e+07,281.084,280.021,277.471
17.204,2.23563e+07,281.257,282.22,277.564
